Channel              :,CH1,CH2
Frequency            :,69.93Hz,69.93Hz
Period               :,14.30ms,14.30ms
PK-PK                :,2.320V,904.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.500000mV
Time interval        :,20.00000uS,20.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-1000.000000,-408.000000
2,-1000.000000,-408.000000
3,-1000.000000,-416.000000
4,-1000.000000,-416.000000
5,-1020.000000,-416.000000
6,-1020.000000,-416.000000
7,-1040.000000,-416.000000
8,-1040.000000,-416.000000
9,-1040.000000,-416.000000
10,-1040.000000,-424.000000
11,-1060.000000,-416.000000
12,-1060.000000,-416.000000
13,-1080.000000,-416.000000
14,-1080.000000,-416.000000
15,-1080.000000,-416.000000
16,-1100.000000,-424.000000
17,-1100.000000,-416.000000
18,-1100.000000,-424.000000
19,-1100.000000,-424.000000
20,-1120.000000,-416.000000
21,-1120.000000,-424.000000
22,-1120.000000,-424.000000
23,-1120.000000,-424.000000
24,-1140.000000,-424.000000
25,-1120.000000,-424.000000
26,-1140.000000,-424.000000
27,-1160.000000,-424.000000
28,-1160.000000,-424.000000
29,-1140.000000,-424.000000
30,-1180.000000,-432.000000
31,-1160.000000,-424.000000
32,-1180.000000,-432.000000
33,-1200.000000,-424.000000
34,-1180.000000,-424.000000
35,-1200.000000,-424.000000
36,-1200.000000,-424.000000
37,-1200.000000,-416.000000
38,-1200.000000,-424.000000
39,-1220.000000,-424.000000
40,-1220.000000,-424.000000
41,-1220.000000,-424.000000
42,-1220.000000,-424.000000
43,-1220.000000,-416.000000
44,-1240.000000,-424.000000
45,-1240.000000,-416.000000
46,-1240.000000,-424.000000
47,-1260.000000,-424.000000
48,-1220.000000,-416.000000
49,-1260.000000,-424.000000
50,-1260.000000,-424.000000
51,-1240.000000,-424.000000
52,-1260.000000,-416.000000
53,-1260.000000,-416.000000
54,-1260.000000,-416.000000
55,-1260.000000,-416.000000
56,-1280.000000,-408.000000
57,-1280.000000,-400.000000
58,-1280.000000,-416.000000
59,-1280.000000,-416.000000
60,-1280.000000,-416.000000
61,-1300.000000,-408.000000
62,-1280.000000,-416.000000
63,-1300.000000,-408.000000
64,-1280.000000,-408.000000
65,-1300.000000,-408.000000
66,-1320.000000,-408.000000
67,-1300.000000,-400.000000
68,-1300.000000,-400.000000
69,-1300.000000,-408.000000
70,-1300.000000,-400.000000
71,-1320.000000,-400.000000
72,-1320.000000,-400.000000
73,-1320.000000,-400.000000
74,-1320.000000,-400.000000
75,-1340.000000,-400.000000
76,-1320.000000,-400.000000
77,-1320.000000,-400.000000
78,-1320.000000,-392.000000
79,-1320.000000,-392.000000
80,-1340.000000,-392.000000
81,-1320.000000,-392.000000
82,-1320.000000,-392.000000
83,-1340.000000,-384.000000
84,-1340.000000,-384.000000
85,-1320.000000,-384.000000
86,-1340.000000,-384.000000
87,-1340.000000,-384.000000
88,-1340.000000,-384.000000
89,-1340.000000,-376.000000
90,-1340.000000,-376.000000
91,-1340.000000,-368.000000
92,-1340.000000,-368.000000
93,-1340.000000,-376.000000
94,-1320.000000,-368.000000
95,-1320.000000,-368.000000
96,-1320.000000,-368.000000
97,-1340.000000,-360.000000
98,-1320.000000,-368.000000
99,-1340.000000,-360.000000
100,-1320.000000,-360.000000
101,-1320.000000,-360.000000
102,-1320.000000,-352.000000
103,-1320.000000,-352.000000
104,-1320.000000,-360.000000
105,-1320.000000,-352.000000
106,-1320.000000,-352.000000
107,-1320.000000,-344.000000
108,-1320.000000,-336.000000
109,-1320.000000,-336.000000
110,-1320.000000,-336.000000
111,-1320.000000,-336.000000
112,-1320.000000,-336.000000
113,-1300.000000,-328.000000
114,-1300.000000,-328.000000
115,-1300.000000,-328.000000
116,-1300.000000,-320.000000
117,-1300.000000,-320.000000
118,-1300.000000,-304.000000
119,-1300.000000,-312.000000
120,-1280.000000,-312.000000
121,-1280.000000,-312.000000
122,-1300.000000,-304.000000
123,-1300.000000,-312.000000
124,-1280.000000,-304.000000
125,-1300.000000,-304.000000
126,-1260.000000,-296.000000
127,-1280.000000,-288.000000
128,-1280.000000,-288.000000
129,-1280.000000,-288.000000
130,-1260.000000,-288.000000
131,-1260.000000,-280.000000
132,-1280.000000,-272.000000
133,-1240.000000,-280.000000
134,-1260.000000,-280.000000
135,-1260.000000,-272.000000
136,-1240.000000,-264.000000
137,-1240.000000,-264.000000
138,-1240.000000,-272.000000
139,-1240.000000,-264.000000
140,-1240.000000,-248.000000
141,-1240.000000,-256.000000
142,-1240.000000,-248.000000
143,-1220.000000,-248.000000
144,-1220.000000,-240.000000
145,-1200.000000,-248.000000
146,-1200.000000,-232.000000
147,-1200.000000,-232.000000
148,-1200.000000,-232.000000
149,-1200.000000,-224.000000
150,-1180.000000,-224.000000
151,-1180.000000,-224.000000
152,-1180.000000,-200.000000
153,-1160.000000,-216.000000
154,-1180.000000,-208.000000
155,-1160.000000,-208.000000
156,-1160.000000,-208.000000
157,-1160.000000,-200.000000
158,-1140.000000,-192.000000
159,-1140.000000,-192.000000
160,-1140.000000,-192.000000
161,-1140.000000,-184.000000
162,-1120.000000,-184.000000
163,-1120.000000,-176.000000
164,-1120.000000,-176.000000
165,-1100.000000,-176.000000
166,-1100.000000,-168.000000
167,-1100.000000,-168.000000
168,-1120.000000,-160.000000
169,-1060.000000,-160.000000
170,-1080.000000,-152.000000
171,-1060.000000,-152.000000
172,-1060.000000,-144.000000
173,-1060.000000,-144.000000
174,-1040.000000,-144.000000
175,-1040.000000,-136.000000
176,-1020.000000,-128.000000
177,-1040.000000,-128.000000
178,-1020.000000,-128.000000
179,-1020.000000,-120.000000
180,-1000.000000,-112.000000
181,-1000.000000,-112.000000
182,-980.000000,-112.000000
183,-1000.000000,-104.000000
184,-980.000000,-104.000000
185,-960.000000,-96.000000
186,-960.000000,-88.000000
187,-960.000000,-88.000000
188,-960.000000,-80.000000
189,-940.000000,-72.000000
190,-940.000000,-72.000000
191,-940.000000,-72.000000
192,-920.000000,-72.000000
193,-920.000000,-64.000000
194,-900.000000,-64.000000
195,-880.000000,-64.000000
196,-880.000000,-56.000000
197,-880.000000,-48.000000
198,-880.000000,-48.000000
199,-860.000000,-56.000000
200,-860.000000,-40.000000
201,-840.000000,-32.000000
202,-840.000000,-32.000000
203,-820.000000,-32.000000
204,-820.000000,-24.000000
205,-800.000000,-24.000000
206,-800.000000,-24.000000
207,-800.000000,-24.000000
208,-800.000000,-16.000000
209,-780.000000,-8.000000
210,-780.000000,0.000000
211,-760.000000,-8.000000
212,-760.000000,0.000000
213,-740.000000,16.000000
214,-740.000000,8.000000
215,-740.000000,16.000000
216,-740.000000,16.000000
217,-720.000000,16.000000
218,-720.000000,24.000000
219,-680.000000,24.000000
220,-680.000000,24.000000
221,-660.000000,32.000000
222,-660.000000,32.000000
223,-660.000000,40.000000
224,-640.000000,40.000000
225,-640.000000,40.000000
226,-640.000000,40.000000
227,-620.000000,48.000000
228,-620.000000,48.000000
229,-600.000000,56.000000
230,-600.000000,56.000000
231,-580.000000,64.000000
232,-580.000000,72.000000
233,-560.000000,72.000000
234,-560.000000,72.000000
235,-560.000000,80.000000
236,-540.000000,80.000000
237,-520.000000,88.000000
238,-520.000000,88.000000
239,-500.000000,88.000000
240,-500.000000,88.000000
241,-500.000000,104.000000
242,-480.000000,104.000000
243,-460.000000,112.000000
244,-460.000000,112.000000
245,-460.000000,112.000000
246,-440.000000,120.000000
247,-440.000000,120.000000
248,-400.000000,128.000000
249,-400.000000,136.000000
250,-400.000000,136.000000
251,-400.000000,144.000000
252,-380.000000,144.000000
253,-360.000000,152.000000
254,-360.000000,152.000000
255,-360.000000,160.000000
256,-360.000000,160.000000
257,-340.000000,168.000000
258,-320.000000,168.000000
259,-320.000000,168.000000
260,-300.000000,176.000000
261,-300.000000,176.000000
262,-280.000000,184.000000
263,-280.000000,184.000000
264,-260.000000,192.000000
265,-260.000000,184.000000
266,-220.000000,200.000000
267,-220.000000,200.000000
268,-220.000000,208.000000
269,-200.000000,208.000000
270,-200.000000,208.000000
271,-180.000000,216.000000
272,-160.000000,216.000000
273,-180.000000,224.000000
274,-160.000000,208.000000
275,-160.000000,232.000000
276,-140.000000,232.000000
277,-120.000000,240.000000
278,-120.000000,240.000000
279,-100.000000,248.000000
280,-100.000000,240.000000
281,-80.000000,248.000000
282,-80.000000,256.000000
283,-40.000000,256.000000
284,-60.000000,264.000000
285,-40.000000,264.000000
286,-40.000000,272.000000
287,-40.000000,272.000000
288,-20.000000,280.000000
289,0.000000,280.000000
290,0.000000,280.000000
291,20.000000,280.000000
292,20.000000,288.000000
293,60.000000,288.000000
294,40.000000,288.000000
295,60.000000,288.000000
296,80.000000,296.000000
297,80.000000,296.000000
298,80.000000,296.000000
299,80.000000,304.000000
300,100.000000,304.000000
301,120.000000,312.000000
302,120.000000,312.000000
303,140.000000,312.000000
304,160.000000,320.000000
305,180.000000,320.000000
306,160.000000,328.000000
307,180.000000,328.000000
308,200.000000,328.000000
309,180.000000,336.000000
310,220.000000,336.000000
311,220.000000,344.000000
312,220.000000,336.000000
313,240.000000,344.000000
314,240.000000,344.000000
315,260.000000,344.000000
316,260.000000,352.000000
317,280.000000,352.000000
318,280.000000,352.000000
319,300.000000,360.000000
320,320.000000,360.000000
321,320.000000,368.000000
322,320.000000,360.000000
323,340.000000,368.000000
324,340.000000,368.000000
325,360.000000,376.000000
326,360.000000,376.000000
327,380.000000,376.000000
328,380.000000,384.000000
329,400.000000,384.000000
330,400.000000,384.000000
331,420.000000,384.000000
332,420.000000,392.000000
333,420.000000,392.000000
334,420.000000,392.000000
335,440.000000,376.000000
336,440.000000,400.000000
337,460.000000,400.000000
338,480.000000,400.000000
339,480.000000,400.000000
340,480.000000,400.000000
341,480.000000,408.000000
342,500.000000,408.000000
343,500.000000,408.000000
344,520.000000,408.000000
345,540.000000,416.000000
346,540.000000,408.000000
347,540.000000,416.000000
348,540.000000,416.000000
349,560.000000,416.000000
350,560.000000,416.000000
351,560.000000,416.000000
352,580.000000,416.000000
353,580.000000,416.000000
354,620.000000,416.000000
355,600.000000,416.000000
356,620.000000,424.000000
357,620.000000,416.000000
358,640.000000,424.000000
359,620.000000,424.000000
360,640.000000,424.000000
361,660.000000,424.000000
362,640.000000,432.000000
363,640.000000,424.000000
364,680.000000,432.000000
365,680.000000,432.000000
366,660.000000,432.000000
367,680.000000,424.000000
368,700.000000,432.000000
369,700.000000,424.000000
370,720.000000,432.000000
371,720.000000,432.000000
372,720.000000,432.000000
373,720.000000,432.000000
374,740.000000,432.000000
375,720.000000,432.000000
376,740.000000,432.000000
377,740.000000,432.000000
378,760.000000,432.000000
379,760.000000,440.000000
380,760.000000,432.000000
381,760.000000,432.000000
382,780.000000,440.000000
383,780.000000,440.000000
384,780.000000,432.000000
385,800.000000,432.000000
386,800.000000,440.000000
387,800.000000,432.000000
388,820.000000,432.000000
389,820.000000,440.000000
390,800.000000,432.000000
391,820.000000,432.000000
392,840.000000,432.000000
393,820.000000,432.000000
394,820.000000,432.000000
395,820.000000,432.000000
396,840.000000,448.000000
397,860.000000,432.000000
398,840.000000,432.000000
399,860.000000,432.000000
400,860.000000,432.000000
401,860.000000,432.000000
402,880.000000,432.000000
403,880.000000,424.000000
404,880.000000,424.000000
405,880.000000,424.000000
406,880.000000,424.000000
407,880.000000,424.000000
408,880.000000,424.000000
409,880.000000,424.000000
410,880.000000,416.000000
411,900.000000,416.000000
412,900.000000,416.000000
413,880.000000,416.000000
414,920.000000,416.000000
415,900.000000,416.000000
416,900.000000,416.000000
417,920.000000,408.000000
418,900.000000,408.000000
419,920.000000,408.000000
420,920.000000,408.000000
421,920.000000,400.000000
422,940.000000,400.000000
423,920.000000,408.000000
424,920.000000,400.000000
425,920.000000,400.000000
426,920.000000,400.000000
427,940.000000,392.000000
428,920.000000,392.000000
429,940.000000,392.000000
430,940.000000,384.000000
431,940.000000,392.000000
432,940.000000,384.000000
433,920.000000,392.000000
434,940.000000,392.000000
435,940.000000,384.000000
436,940.000000,384.000000
437,940.000000,384.000000
438,940.000000,384.000000
439,960.000000,376.000000
440,960.000000,376.000000
441,940.000000,376.000000
442,940.000000,368.000000
443,940.000000,368.000000
444,940.000000,368.000000
445,940.000000,368.000000
446,940.000000,360.000000
447,960.000000,360.000000
448,940.000000,360.000000
449,940.000000,360.000000
450,940.000000,360.000000
451,940.000000,352.000000
452,940.000000,352.000000
453,940.000000,344.000000
454,940.000000,344.000000
455,940.000000,344.000000
456,940.000000,344.000000
457,940.000000,352.000000
458,940.000000,344.000000
459,940.000000,328.000000
460,940.000000,328.000000
461,940.000000,328.000000
462,920.000000,320.000000
463,920.000000,320.000000
464,940.000000,312.000000
465,920.000000,320.000000
466,920.000000,312.000000
467,940.000000,312.000000
468,900.000000,312.000000
469,920.000000,304.000000
470,900.000000,312.000000
471,920.000000,304.000000
472,920.000000,296.000000
473,900.000000,296.000000
474,920.000000,296.000000
475,900.000000,288.000000
476,920.000000,288.000000
477,900.000000,280.000000
478,900.000000,288.000000
479,900.000000,280.000000
480,880.000000,280.000000
481,880.000000,280.000000
482,900.000000,272.000000
483,860.000000,272.000000
484,880.000000,264.000000
485,860.000000,264.000000
486,880.000000,264.000000
487,860.000000,256.000000
488,880.000000,256.000000
489,860.000000,248.000000
490,860.000000,248.000000
491,860.000000,264.000000
492,840.000000,248.000000
493,860.000000,240.000000
494,840.000000,240.000000
495,840.000000,232.000000
496,840.000000,232.000000
497,820.000000,224.000000
498,840.000000,224.000000
499,820.000000,224.000000
500,800.000000,216.000000
501,820.000000,216.000000
502,800.000000,208.000000
503,800.000000,208.000000
504,800.000000,200.000000
505,800.000000,208.000000
506,780.000000,200.000000
507,780.000000,192.000000
508,780.000000,192.000000
509,780.000000,192.000000
510,760.000000,184.000000
511,740.000000,184.000000
512,760.000000,184.000000
513,740.000000,176.000000
514,740.000000,176.000000
515,720.000000,168.000000
516,720.000000,168.000000
517,720.000000,160.000000
518,720.000000,168.000000
519,700.000000,160.000000
520,700.000000,152.000000
521,720.000000,152.000000
522,700.000000,152.000000
523,700.000000,152.000000
524,700.000000,144.000000
525,680.000000,136.000000
526,680.000000,136.000000
527,680.000000,136.000000
528,640.000000,128.000000
529,660.000000,128.000000
530,660.000000,120.000000
531,640.000000,120.000000
532,640.000000,112.000000
533,640.000000,112.000000
534,620.000000,104.000000
535,600.000000,96.000000
536,600.000000,96.000000
537,600.000000,96.000000
538,600.000000,88.000000
539,580.000000,88.000000
540,580.000000,80.000000
541,560.000000,80.000000
542,560.000000,72.000000
543,580.000000,64.000000
544,540.000000,72.000000
545,540.000000,64.000000
546,520.000000,64.000000
547,520.000000,56.000000
548,500.000000,56.000000
549,500.000000,48.000000
550,500.000000,48.000000
551,480.000000,48.000000
552,480.000000,40.000000
553,460.000000,40.000000
554,460.000000,40.000000
555,440.000000,32.000000
556,460.000000,32.000000
557,440.000000,24.000000
558,440.000000,8.000000
559,440.000000,16.000000
560,420.000000,16.000000
561,400.000000,8.000000
562,400.000000,8.000000
563,400.000000,0.000000
564,380.000000,0.000000
565,380.000000,0.000000
566,360.000000,-8.000000
567,360.000000,-8.000000
568,340.000000,-16.000000
569,340.000000,-16.000000
