Channel              :,CH1,CH2
Frequency            :,79.94Hz,79.94Hz
Period               :,12.51ms,12.51ms
PK-PK                :,1.700V,832.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.500000mV
Time interval        :,20.00000uS,20.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-300.000000,-256.000000
2,-300.000000,-256.000000
3,-300.000000,-264.000000
4,-300.000000,-264.000000
5,-320.000000,-264.000000
6,-320.000000,-272.000000
7,-340.000000,-272.000000
8,-320.000000,-272.000000
9,-340.000000,-272.000000
10,-360.000000,-280.000000
11,-360.000000,-280.000000
12,-360.000000,-288.000000
13,-380.000000,-288.000000
14,-380.000000,-288.000000
15,-380.000000,-288.000000
16,-400.000000,-296.000000
17,-420.000000,-272.000000
18,-420.000000,-296.000000
19,-420.000000,-304.000000
20,-440.000000,-304.000000
21,-440.000000,-304.000000
22,-460.000000,-304.000000
23,-460.000000,-312.000000
24,-460.000000,-320.000000
25,-460.000000,-312.000000
26,-500.000000,-320.000000
27,-500.000000,-320.000000
28,-480.000000,-320.000000
29,-500.000000,-328.000000
30,-500.000000,-336.000000
31,-520.000000,-328.000000
32,-520.000000,-336.000000
33,-540.000000,-336.000000
34,-540.000000,-344.000000
35,-540.000000,-336.000000
36,-540.000000,-344.000000
37,-560.000000,-344.000000
38,-580.000000,-352.000000
39,-580.000000,-352.000000
40,-580.000000,-352.000000
41,-580.000000,-352.000000
42,-600.000000,-360.000000
43,-600.000000,-352.000000
44,-620.000000,-352.000000
45,-620.000000,-360.000000
46,-640.000000,-360.000000
47,-640.000000,-360.000000
48,-620.000000,-368.000000
49,-640.000000,-360.000000
50,-660.000000,-360.000000
51,-660.000000,-368.000000
52,-660.000000,-368.000000
53,-660.000000,-376.000000
54,-680.000000,-376.000000
55,-680.000000,-376.000000
56,-700.000000,-376.000000
57,-700.000000,-376.000000
58,-700.000000,-376.000000
59,-720.000000,-376.000000
60,-700.000000,-376.000000
61,-720.000000,-376.000000
62,-720.000000,-376.000000
63,-740.000000,-384.000000
64,-740.000000,-384.000000
65,-740.000000,-384.000000
66,-760.000000,-384.000000
67,-760.000000,-384.000000
68,-740.000000,-384.000000
69,-780.000000,-392.000000
70,-780.000000,-392.000000
71,-780.000000,-400.000000
72,-780.000000,-392.000000
73,-780.000000,-392.000000
74,-800.000000,-384.000000
75,-800.000000,-392.000000
76,-820.000000,-392.000000
77,-820.000000,-392.000000
78,-820.000000,-384.000000
79,-840.000000,-392.000000
80,-820.000000,-392.000000
81,-840.000000,-392.000000
82,-840.000000,-392.000000
83,-860.000000,-400.000000
84,-860.000000,-392.000000
85,-840.000000,-392.000000
86,-860.000000,-392.000000
87,-860.000000,-392.000000
88,-880.000000,-392.000000
89,-880.000000,-392.000000
90,-880.000000,-392.000000
91,-880.000000,-392.000000
92,-880.000000,-392.000000
93,-900.000000,-392.000000
94,-900.000000,-392.000000
95,-900.000000,-392.000000
96,-900.000000,-392.000000
97,-900.000000,-392.000000
98,-920.000000,-392.000000
99,-900.000000,-392.000000
100,-920.000000,-392.000000
101,-900.000000,-392.000000
102,-920.000000,-392.000000
103,-940.000000,-384.000000
104,-920.000000,-392.000000
105,-940.000000,-384.000000
106,-940.000000,-384.000000
107,-940.000000,-384.000000
108,-960.000000,-384.000000
109,-940.000000,-384.000000
110,-940.000000,-384.000000
111,-940.000000,-376.000000
112,-960.000000,-376.000000
113,-960.000000,-376.000000
114,-960.000000,-376.000000
115,-960.000000,-376.000000
116,-960.000000,-368.000000
117,-960.000000,-376.000000
118,-980.000000,-368.000000
119,-980.000000,-376.000000
120,-980.000000,-368.000000
121,-980.000000,-368.000000
122,-980.000000,-360.000000
123,-960.000000,-360.000000
124,-1000.000000,-360.000000
125,-980.000000,-368.000000
126,-980.000000,-360.000000
127,-1000.000000,-352.000000
128,-980.000000,-352.000000
129,-1000.000000,-352.000000
130,-980.000000,-352.000000
131,-1000.000000,-352.000000
132,-1000.000000,-352.000000
133,-1000.000000,-344.000000
134,-980.000000,-344.000000
135,-1000.000000,-344.000000
136,-1000.000000,-344.000000
137,-1000.000000,-336.000000
138,-1000.000000,-336.000000
139,-1000.000000,-304.000000
140,-1000.000000,-336.000000
141,-1020.000000,-320.000000
142,-1000.000000,-328.000000
143,-1020.000000,-328.000000
144,-1020.000000,-320.000000
145,-1020.000000,-320.000000
146,-1020.000000,-320.000000
147,-1020.000000,-312.000000
148,-1000.000000,-312.000000
149,-1020.000000,-312.000000
150,-1000.000000,-312.000000
151,-1000.000000,-312.000000
152,-1000.000000,-304.000000
153,-1000.000000,-304.000000
154,-1000.000000,-304.000000
155,-1020.000000,-296.000000
156,-1000.000000,-296.000000
157,-980.000000,-288.000000
158,-1000.000000,-288.000000
159,-1000.000000,-288.000000
160,-980.000000,-280.000000
161,-1000.000000,-280.000000
162,-1000.000000,-280.000000
163,-980.000000,-280.000000
164,-1000.000000,-272.000000
165,-1000.000000,-264.000000
166,-980.000000,-264.000000
167,-980.000000,-264.000000
168,-980.000000,-256.000000
169,-960.000000,-256.000000
170,-980.000000,-256.000000
171,-980.000000,-256.000000
172,-960.000000,-248.000000
173,-980.000000,-248.000000
174,-980.000000,-248.000000
175,-980.000000,-232.000000
176,-960.000000,-232.000000
177,-960.000000,-232.000000
178,-960.000000,-224.000000
179,-960.000000,-224.000000
180,-960.000000,-224.000000
181,-980.000000,-224.000000
182,-960.000000,-216.000000
183,-940.000000,-216.000000
184,-960.000000,-216.000000
185,-940.000000,-208.000000
186,-940.000000,-208.000000
187,-960.000000,-200.000000
188,-920.000000,-200.000000
189,-920.000000,-192.000000
190,-920.000000,-192.000000
191,-920.000000,-192.000000
192,-920.000000,-184.000000
193,-900.000000,-184.000000
194,-920.000000,-176.000000
195,-920.000000,-176.000000
196,-900.000000,-176.000000
197,-900.000000,-176.000000
198,-900.000000,-168.000000
199,-900.000000,-168.000000
200,-880.000000,-152.000000
201,-880.000000,-152.000000
202,-880.000000,-152.000000
203,-880.000000,-144.000000
204,-880.000000,-144.000000
205,-880.000000,-144.000000
206,-860.000000,-136.000000
207,-860.000000,-128.000000
208,-840.000000,-128.000000
209,-860.000000,-128.000000
210,-840.000000,-120.000000
211,-840.000000,-120.000000
212,-820.000000,-112.000000
213,-840.000000,-120.000000
214,-820.000000,-104.000000
215,-800.000000,-104.000000
216,-840.000000,-104.000000
217,-800.000000,-96.000000
218,-800.000000,-96.000000
219,-800.000000,-88.000000
220,-780.000000,-88.000000
221,-780.000000,-80.000000
222,-780.000000,-80.000000
223,-760.000000,-72.000000
224,-760.000000,-72.000000
225,-760.000000,-72.000000
226,-760.000000,-64.000000
227,-740.000000,-56.000000
228,-740.000000,-64.000000
229,-740.000000,-56.000000
230,-740.000000,-48.000000
231,-720.000000,-48.000000
232,-720.000000,-48.000000
233,-700.000000,-48.000000
234,-700.000000,-40.000000
235,-680.000000,-40.000000
236,-680.000000,-32.000000
237,-680.000000,-24.000000
238,-680.000000,-24.000000
239,-660.000000,-24.000000
240,-640.000000,-16.000000
241,-640.000000,-16.000000
242,-640.000000,-16.000000
243,-640.000000,-8.000000
244,-640.000000,-8.000000
245,-620.000000,0.000000
246,-620.000000,8.000000
247,-620.000000,0.000000
248,-600.000000,8.000000
249,-600.000000,16.000000
250,-600.000000,16.000000
251,-580.000000,24.000000
252,-580.000000,24.000000
253,-580.000000,32.000000
254,-560.000000,32.000000
255,-560.000000,32.000000
256,-560.000000,40.000000
257,-540.000000,40.000000
258,-520.000000,40.000000
259,-540.000000,48.000000
260,-520.000000,48.000000
261,-500.000000,56.000000
262,-520.000000,64.000000
263,-480.000000,64.000000
264,-480.000000,72.000000
265,-480.000000,64.000000
266,-460.000000,80.000000
267,-460.000000,72.000000
268,-420.000000,88.000000
269,-440.000000,88.000000
270,-440.000000,88.000000
271,-420.000000,88.000000
272,-420.000000,96.000000
273,-420.000000,104.000000
274,-400.000000,104.000000
275,-400.000000,112.000000
276,-380.000000,112.000000
277,-380.000000,112.000000
278,-360.000000,120.000000
279,-360.000000,128.000000
280,-360.000000,136.000000
281,-360.000000,128.000000
282,-340.000000,136.000000
283,-340.000000,144.000000
284,-320.000000,152.000000
