Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,664.0mV,86.40mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,0.050000mV
Time interval        :,2000.00000uS,2000.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-56.000000,-16.799999
2,-56.000000,-16.799999
3,-64.000000,-16.000000
4,-80.000000,-15.200000
5,-72.000000,-16.000000
6,-48.000000,-15.200000
7,-56.000000,-15.200000
8,-80.000000,-16.000000
9,-88.000000,-10.400000
10,-72.000000,-16.799999
11,-64.000000,-16.799999
12,-80.000000,-20.000000
13,-96.000000,-15.200000
14,-104.000000,-15.200000
15,-88.000000,-16.000000
16,-104.000000,-15.200000
17,-88.000000,-16.000000
18,-96.000000,-16.799999
19,-120.000000,-17.600000
20,-96.000000,-16.000000
21,-120.000000,-16.799999
22,-104.000000,-12.000000
23,-120.000000,-14.400000
24,-120.000000,-16.799999
25,-120.000000,-17.600000
26,-136.000000,-16.000000
27,-120.000000,-16.000000
28,-136.000000,-16.000000
29,-144.000000,-17.600000
30,-120.000000,-17.600000
31,-128.000000,-16.799999
32,-128.000000,-10.400000
33,-136.000000,-16.000000
34,-152.000000,-16.799999
35,-136.000000,-16.799999
36,-152.000000,-16.000000
37,-144.000000,-16.000000
38,-144.000000,-16.000000
39,-152.000000,-18.400000
40,-160.000000,-16.000000
41,-152.000000,-16.000000
42,-160.000000,-16.000000
43,-168.000000,-16.000000
44,-176.000000,-16.799999
45,-160.000000,-16.000000
46,-168.000000,-16.000000
47,-168.000000,-16.799999
48,-176.000000,-15.200000
49,-168.000000,-16.799999
50,-184.000000,-16.000000
51,-176.000000,-16.000000
52,-176.000000,-12.800000
53,-192.000000,-15.200000
54,-192.000000,-16.799999
55,-200.000000,-16.000000
56,-192.000000,-16.799999
57,-192.000000,-16.000000
58,-184.000000,-15.200000
59,-200.000000,-16.000000
60,-208.000000,-16.000000
61,-192.000000,-16.799999
62,-208.000000,-12.000000
63,-216.000000,-15.200000
64,-232.000000,-16.000000
65,-224.000000,-15.200000
66,-216.000000,-16.000000
67,-208.000000,-15.200000
68,-216.000000,-14.400000
69,-240.000000,-19.200001
70,-208.000000,-16.000000
71,-208.000000,-16.000000
72,-224.000000,-15.200000
73,-232.000000,-14.400000
74,-248.000000,-16.000000
75,-240.000000,-16.000000
76,-240.000000,-16.000000
77,-232.000000,-14.400000
78,-232.000000,-14.400000
79,-248.000000,-16.000000
80,-240.000000,-16.000000
81,-248.000000,-15.200000
82,-248.000000,-15.200000
83,-256.000000,-15.200000
84,-264.000000,-15.200000
85,-256.000000,-14.400000
86,-256.000000,-15.200000
87,-256.000000,-14.400000
88,-248.000000,-15.200000
89,-272.000000,-15.200000
90,-272.000000,-14.400000
91,-256.000000,-14.400000
92,-264.000000,-16.000000
93,-272.000000,-14.400000
94,-280.000000,-14.400000
95,-272.000000,-14.400000
96,-272.000000,-12.800000
97,-264.000000,-12.000000
98,-280.000000,-14.400000
99,-280.000000,-16.000000
100,-280.000000,-13.600000
101,-272.000000,-13.600000
102,-288.000000,-18.400000
103,-296.000000,-13.600000
104,-296.000000,-13.600000
105,-296.000000,-13.600000
106,-288.000000,-12.800000
107,-288.000000,-12.800000
108,-296.000000,-12.800000
109,-304.000000,-8.800000
110,-296.000000,-12.800000
111,-288.000000,-14.400000
112,-304.000000,-11.200000
113,-296.000000,-12.000000
114,-312.000000,-12.800000
115,-296.000000,-11.200000
116,-296.000000,-12.000000
117,-304.000000,-12.000000
118,-312.000000,-12.000000
119,-320.000000,-14.400000
120,-304.000000,-11.200000
121,-296.000000,-11.200000
122,-312.000000,-17.600000
123,-320.000000,-12.000000
124,-320.000000,-12.800000
125,-320.000000,-12.000000
126,-312.000000,-9.600000
127,-312.000000,-10.400000
128,-320.000000,-10.400000
129,-328.000000,-15.200000
130,-320.000000,-11.200000
131,-312.000000,-9.600000
132,-320.000000,1.600000
133,-328.000000,-11.200000
134,-320.000000,-10.400000
135,-328.000000,-10.400000
136,-320.000000,-9.600000
137,-328.000000,-9.600000
138,-320.000000,-9.600000
139,-336.000000,-12.000000
140,-336.000000,-8.800000
141,-328.000000,-8.800000
142,-328.000000,-20.000000
143,-336.000000,-10.400000
144,-360.000000,-9.600000
145,-344.000000,-8.000000
146,-320.000000,-7.200000
147,-344.000000,-8.800000
148,-344.000000,-8.800000
149,-336.000000,-7.200000
150,-344.000000,-8.000000
151,-328.000000,-8.000000
152,-336.000000,-6.400000
153,-344.000000,-8.800000
154,-352.000000,-8.800000
155,-344.000000,-8.000000
156,-328.000000,-7.200000
157,-336.000000,-8.000000
158,-336.000000,-7.200000
159,-344.000000,-7.200000
160,-336.000000,-6.400000
161,-336.000000,-6.400000
162,-344.000000,-5.600000
163,-336.000000,-5.600000
164,-344.000000,-7.200000
165,-352.000000,-6.400000
166,-336.000000,-7.200000
167,-344.000000,-7.200000
168,-352.000000,-5.600000
169,-344.000000,-8.800000
170,-344.000000,-4.800000
171,-344.000000,-4.000000
172,-344.000000,-4.000000
173,-352.000000,-5.600000
174,-352.000000,-5.600000
175,-344.000000,-4.000000
176,-344.000000,-3.200000
177,-352.000000,-4.800000
178,-344.000000,-4.800000
179,-352.000000,-8.000000
180,-336.000000,-3.200000
181,-328.000000,-3.200000
182,-344.000000,-4.000000
183,-344.000000,-2.400000
184,-344.000000,-3.200000
185,-336.000000,-2.400000
186,-336.000000,-3.200000
187,-352.000000,-3.200000
188,-344.000000,-2.400000
189,-352.000000,0.800000
190,-336.000000,-1.600000
191,-336.000000,-1.600000
192,-328.000000,-2.400000
193,-352.000000,-2.400000
194,-344.000000,-1.600000
195,-344.000000,0.000000
196,-320.000000,-1.600000
197,-328.000000,-0.800000
198,-336.000000,-2.400000
199,-336.000000,0.000000
200,-336.000000,-0.800000
201,-312.000000,-1.600000
202,-328.000000,-0.800000
203,-336.000000,0.000000
204,-352.000000,0.000000
205,-336.000000,0.800000
206,-320.000000,0.000000
207,-328.000000,0.000000
208,-320.000000,0.000000
209,-336.000000,3.200000
210,-336.000000,1.600000
211,-296.000000,0.800000
212,-312.000000,1.600000
213,-312.000000,0.800000
214,-320.000000,1.600000
215,-328.000000,0.000000
216,-304.000000,2.400000
217,-320.000000,0.800000
218,-328.000000,2.400000
219,-320.000000,13.600000
220,-312.000000,3.200000
221,-304.000000,3.200000
222,-304.000000,3.200000
223,-320.000000,2.400000
224,-320.000000,4.000000
225,-312.000000,3.200000
226,-304.000000,3.200000
227,-304.000000,3.200000
228,-312.000000,3.200000
229,-312.000000,9.600000
230,-296.000000,4.000000
231,-296.000000,4.800000
232,-304.000000,4.000000
233,-296.000000,3.200000
234,-312.000000,4.000000
235,-304.000000,4.800000
236,-288.000000,5.600000
237,-288.000000,4.800000
238,-280.000000,4.000000
239,-296.000000,10.400000
240,-288.000000,7.200000
241,-272.000000,5.600000
242,-280.000000,6.400000
243,-280.000000,5.600000
244,-288.000000,4.800000
245,-280.000000,7.200000
246,-280.000000,7.200000
247,-272.000000,5.600000
248,-272.000000,5.600000
249,-272.000000,0.000000
250,-256.000000,6.400000
251,-256.000000,6.400000
252,-264.000000,7.200000
253,-264.000000,6.400000
254,-264.000000,8.000000
255,-256.000000,7.200000
256,-248.000000,10.400000
257,-256.000000,8.000000
258,-256.000000,6.400000
259,-264.000000,7.200000
260,-248.000000,8.000000
261,-232.000000,8.800000
262,-248.000000,8.800000
263,-248.000000,8.000000
264,-240.000000,8.000000
265,-248.000000,8.800000
266,-240.000000,10.400000
267,-232.000000,9.600000
268,-232.000000,8.800000
269,-248.000000,9.600000
270,-232.000000,10.400000
271,-208.000000,8.800000
272,-224.000000,-0.800000
273,-232.000000,10.400000
274,-232.000000,8.800000
275,-216.000000,10.400000
276,-208.000000,10.400000
277,-216.000000,9.600000
278,-208.000000,9.600000
279,-224.000000,14.400000
280,-208.000000,10.400000
281,-192.000000,11.200000
282,-200.000000,14.400000
283,-200.000000,10.400000
284,-208.000000,11.200000
285,-208.000000,11.200000
286,-208.000000,11.200000
287,-200.000000,12.000000
288,-184.000000,11.200000
289,-200.000000,13.600000
290,-168.000000,13.600000
291,-192.000000,12.000000
292,-176.000000,15.200000
293,-192.000000,11.200000
294,-184.000000,12.800000
295,-176.000000,12.000000
296,-160.000000,12.800000
297,-168.000000,12.800000
298,-160.000000,13.600000
299,-168.000000,12.000000
300,-168.000000,12.800000
301,-144.000000,13.600000
302,-160.000000,13.600000
303,-160.000000,12.800000
304,-152.000000,12.800000
305,-160.000000,12.800000
306,-144.000000,13.600000
307,-144.000000,14.400000
308,-152.000000,13.600000
309,-152.000000,11.200000
310,-128.000000,13.600000
311,-128.000000,14.400000
312,-136.000000,18.400000
313,-136.000000,15.200000
314,-136.000000,13.600000
315,-120.000000,14.400000
316,-120.000000,15.200000
317,-112.000000,15.200000
318,-128.000000,14.400000
319,-112.000000,12.000000
320,-104.000000,13.600000
321,-112.000000,13.600000
322,-96.000000,14.400000
323,-120.000000,14.400000
324,-112.000000,14.400000
325,-104.000000,14.400000
326,-96.000000,15.200000
327,-96.000000,15.200000
328,-88.000000,15.200000
329,-88.000000,14.400000
330,-88.000000,14.400000
331,-80.000000,14.400000
332,-72.000000,12.800000
333,-72.000000,15.200000
