Channel              :,CH1,CH2
Frequency            :,40.00Hz,40.03Hz
Period               :,25.00ms,24.98ms
PK-PK                :,1.980V,496.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.250000mV
Time interval        :,40.00000uS,40.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,240.000000,0.000000
2,240.000000,0.000000
3,220.000000,0.000000
4,240.000000,0.000000
5,240.000000,-4.000000
6,220.000000,-4.000000
7,240.000000,-4.000000
8,200.000000,-8.000000
9,200.000000,-12.000000
10,200.000000,-12.000000
11,200.000000,-12.000000
12,160.000000,-12.000000
13,160.000000,-20.000000
14,160.000000,-20.000000
15,160.000000,-20.000000
16,140.000000,-24.000000
17,140.000000,-24.000000
18,140.000000,-28.000000
19,120.000000,-28.000000
20,120.000000,-32.000000
21,100.000000,-28.000000
22,80.000000,-32.000000
23,60.000000,-36.000000
24,80.000000,-36.000000
25,40.000000,-36.000000
26,60.000000,-40.000000
27,60.000000,-40.000000
28,20.000000,-40.000000
29,40.000000,-48.000000
30,40.000000,-44.000000
31,20.000000,-52.000000
32,20.000000,-48.000000
33,0.000000,-52.000000
34,0.000000,-52.000000
35,-20.000000,-56.000000
36,-20.000000,-56.000000
37,-20.000000,-60.000000
38,-40.000000,-56.000000
39,-20.000000,-60.000000
40,-60.000000,-60.000000
41,-60.000000,-64.000000
42,-40.000000,-68.000000
43,-40.000000,-68.000000
44,-60.000000,-68.000000
45,-60.000000,-72.000000
46,-100.000000,-72.000000
47,-100.000000,-72.000000
48,-80.000000,-80.000000
49,-100.000000,-76.000000
50,-120.000000,-76.000000
51,-100.000000,-80.000000
52,-120.000000,-80.000000
53,-120.000000,-84.000000
54,-120.000000,-84.000000
55,-140.000000,-84.000000
56,-160.000000,-88.000000
57,-140.000000,-92.000000
58,-160.000000,-92.000000
59,-160.000000,-92.000000
60,-160.000000,-92.000000
61,-180.000000,-96.000000
62,-180.000000,-96.000000
63,-180.000000,-100.000000
64,-220.000000,-100.000000
65,-240.000000,-128.000000
66,-220.000000,-104.000000
67,-240.000000,-104.000000
68,-240.000000,-116.000000
69,-240.000000,-104.000000
70,-260.000000,-108.000000
71,-260.000000,-112.000000
72,-280.000000,-112.000000
73,-280.000000,-116.000000
74,-300.000000,-116.000000
75,-300.000000,-120.000000
76,-300.000000,-120.000000
77,-300.000000,-120.000000
78,-340.000000,-124.000000
79,-340.000000,-124.000000
80,-380.000000,-124.000000
81,-360.000000,-128.000000
82,-360.000000,-128.000000
83,-380.000000,-128.000000
84,-380.000000,-132.000000
85,-380.000000,-132.000000
86,-400.000000,-136.000000
87,-400.000000,-136.000000
88,-420.000000,-140.000000
89,-380.000000,-140.000000
90,-420.000000,-140.000000
91,-420.000000,-140.000000
92,-420.000000,-144.000000
93,-460.000000,-144.000000
94,-460.000000,-148.000000
95,-460.000000,-148.000000
96,-440.000000,-148.000000
97,-460.000000,-152.000000
98,-500.000000,-152.000000
99,-500.000000,-152.000000
100,-500.000000,-152.000000
101,-520.000000,-156.000000
102,-500.000000,-160.000000
103,-540.000000,-160.000000
104,-540.000000,-160.000000
105,-520.000000,-160.000000
106,-520.000000,-164.000000
107,-560.000000,-164.000000
108,-560.000000,-168.000000
109,-580.000000,-180.000000
110,-560.000000,-168.000000
111,-580.000000,-168.000000
112,-580.000000,-172.000000
113,-600.000000,-172.000000
114,-620.000000,-172.000000
115,-620.000000,-176.000000
116,-620.000000,-172.000000
117,-640.000000,-176.000000
118,-640.000000,-180.000000
119,-660.000000,-180.000000
120,-660.000000,-180.000000
121,-660.000000,-180.000000
122,-680.000000,-184.000000
123,-680.000000,-184.000000
124,-700.000000,-184.000000
125,-700.000000,-184.000000
126,-720.000000,-184.000000
127,-700.000000,-188.000000
128,-720.000000,-188.000000
129,-740.000000,-200.000000
130,-740.000000,-192.000000
131,-760.000000,-192.000000
132,-740.000000,-192.000000
133,-760.000000,-196.000000
134,-760.000000,-196.000000
135,-760.000000,-196.000000
136,-780.000000,-212.000000
137,-800.000000,-200.000000
138,-780.000000,-200.000000
139,-780.000000,-204.000000
140,-800.000000,-200.000000
141,-800.000000,-200.000000
142,-820.000000,-204.000000
143,-840.000000,-204.000000
144,-820.000000,-204.000000
145,-840.000000,-204.000000
146,-820.000000,-204.000000
147,-840.000000,-208.000000
148,-860.000000,-208.000000
149,-860.000000,-208.000000
150,-840.000000,-208.000000
151,-880.000000,-208.000000
152,-860.000000,-208.000000
153,-880.000000,-208.000000
154,-880.000000,-212.000000
155,-880.000000,-212.000000
156,-880.000000,-212.000000
157,-900.000000,-212.000000
158,-920.000000,-212.000000
159,-900.000000,-212.000000
160,-900.000000,-212.000000
161,-900.000000,-212.000000
162,-900.000000,-216.000000
163,-900.000000,-212.000000
164,-920.000000,-216.000000
165,-920.000000,-216.000000
166,-920.000000,-216.000000
167,-940.000000,-216.000000
168,-920.000000,-216.000000
169,-940.000000,-220.000000
170,-960.000000,-220.000000
171,-960.000000,-220.000000
172,-960.000000,-216.000000
173,-960.000000,-220.000000
174,-960.000000,-220.000000
175,-980.000000,-220.000000
176,-980.000000,-216.000000
177,-960.000000,-220.000000
178,-980.000000,-220.000000
179,-980.000000,-220.000000
180,-1000.000000,-192.000000
181,-980.000000,-220.000000
182,-1000.000000,-220.000000
183,-980.000000,-216.000000
184,-1000.000000,-220.000000
185,-1020.000000,-220.000000
186,-980.000000,-220.000000
187,-1000.000000,-220.000000
188,-1020.000000,-220.000000
189,-1020.000000,-220.000000
190,-1020.000000,-216.000000
191,-1000.000000,-220.000000
192,-1000.000000,-216.000000
193,-1040.000000,-216.000000
194,-1040.000000,-216.000000
195,-1020.000000,-220.000000
196,-1020.000000,-220.000000
197,-1020.000000,-216.000000
198,-1020.000000,-216.000000
199,-1020.000000,-212.000000
200,-1040.000000,-220.000000
201,-1040.000000,-216.000000
202,-1040.000000,-216.000000
203,-1060.000000,-216.000000
204,-1060.000000,-216.000000
205,-1060.000000,-212.000000
206,-1060.000000,-216.000000
207,-1060.000000,-204.000000
208,-1060.000000,-208.000000
209,-1060.000000,-208.000000
210,-1060.000000,-204.000000
211,-1040.000000,-208.000000
212,-1060.000000,-208.000000
213,-1060.000000,-208.000000
214,-1060.000000,-208.000000
215,-1060.000000,-204.000000
216,-1040.000000,-204.000000
217,-1060.000000,-208.000000
218,-1060.000000,-204.000000
219,-1060.000000,-200.000000
220,-1060.000000,-204.000000
221,-1040.000000,-200.000000
222,-1060.000000,-200.000000
223,-1060.000000,-200.000000
224,-1060.000000,-196.000000
225,-1060.000000,-196.000000
226,-1060.000000,-192.000000
227,-1060.000000,-192.000000
228,-1040.000000,-192.000000
229,-1060.000000,-192.000000
230,-1020.000000,-188.000000
231,-1040.000000,-192.000000
232,-1040.000000,-188.000000
233,-1040.000000,-184.000000
234,-1040.000000,-188.000000
235,-1040.000000,-184.000000
236,-1040.000000,-180.000000
237,-1040.000000,-184.000000
238,-1060.000000,-180.000000
239,-1020.000000,-176.000000
240,-1020.000000,-176.000000
241,-1020.000000,-176.000000
242,-1000.000000,-172.000000
243,-1000.000000,-168.000000
244,-980.000000,-176.000000
245,-1000.000000,-168.000000
246,-980.000000,-168.000000
247,-980.000000,-164.000000
248,-980.000000,-164.000000
249,-1000.000000,-160.000000
250,-980.000000,-160.000000
251,-980.000000,-176.000000
252,-980.000000,-156.000000
253,-960.000000,-152.000000
254,-960.000000,-160.000000
255,-940.000000,-152.000000
256,-960.000000,-148.000000
257,-940.000000,-148.000000
258,-940.000000,-144.000000
259,-940.000000,-144.000000
260,-940.000000,-140.000000
261,-940.000000,-140.000000
262,-940.000000,-136.000000
263,-940.000000,-136.000000
264,-940.000000,-136.000000
265,-900.000000,-128.000000
266,-900.000000,-128.000000
267,-880.000000,-128.000000
268,-900.000000,-124.000000
269,-900.000000,-124.000000
